component,paris_logit_attr
20_attn_out,1.6586713
21_attn_out,1.1664472
15_attn_out,0.87193054
19_attn_out,0.8629727
17_mlp_out,0.84304017
18_mlp_out,0.79647565
21_mlp_out,0.7828684
20_mlp_out,0.78107023
22_mlp_out,0.53596556
14_attn_out,0.50267994
23_attn_out,0.49245813
15_mlp_out,0.4870555
17_attn_out,0.37109452
16_mlp_out,0.31609213
19_mlp_out,0.31098312
1_attn_out,0.3052402
16_attn_out,0.29230547
12_attn_out,0.21939285
8_mlp_out,0.21117759
2_attn_out,0.2059638
7_attn_out,0.19850701
10_attn_out,0.19606891
9_mlp_out,0.19152871
14_mlp_out,0.17038986
0_mlp_out,0.15657225
9_attn_out,0.1421228
11_attn_out,0.13869426
4_attn_out,0.11648485
8_attn_out,0.115042865
3_attn_out,0.1143008
22_attn_out,0.11073217
18_attn_out,0.09240414
6_attn_out,0.07939202
13_attn_out,0.07533416
5_attn_out,0.074092455
4_mlp_out,0.049395945
11_mlp_out,0.042762667
12_mlp_out,0.033776183
0_attn_out,0.013622859
3_mlp_out,0.000700105
pos_embed,-0.0028339822
5_mlp_out,-0.0141969845
13_mlp_out,-0.02674821
embed,-0.033249974
6_mlp_out,-0.050389886
7_mlp_out,-0.066529706
2_mlp_out,-0.06931071
1_mlp_out,-0.15902093
10_mlp_out,-0.2050209
23_mlp_out,-0.85143876
